,url,owner_id,project_name,image_count,
125,https://api.github.com/repos/circleci/frontend,84389,frontend,1,Make it easy for contributors to setup
188,https://api.github.com/repos/hawkular/hawkular-alerts,6648535,hawkular-alerts,1,examples for student materials
96,https://api.github.com/repos/gmr/consulate,140928,consulate,1,
553,https://api.github.com/repos/stefannaglee/docker-registry-manager,6948988,docker-registry-manager,1,They provide different mechanisms including docker-compose and docker to run their applicatoin
187,https://api.github.com/repos/ypereirareis/ypereirareis.github.io,3504450,ypereirareis.github.io,1,
437,https://api.github.com/repos/hhpack/performance,10101916,performance,1,
382,https://api.github.com/repos/ryerh/ryerh.github.io,2838502,ryerh.github.io,1,
462,https://api.github.com/repos/mattherman/MbDotNet,6899782,MbDotNet,1,use docker-compose `` to bring up […] container''
445,https://api.github.com/repos/mangrep/ifsc-rest-api,10225701,ifsc-rest-api,1,
367,https://api.github.com/repos/lsu-ub-uu/cora-therest,10266959,cora-therest,1,To simplify the creation and the stop of images. A good example is shown in a commit https://github.com/lsu-ub-uu/cora-therest/commit/a5e6af650710a6b082f060ab759fe13bd8f1ab42#diff-423deb13b7c401b1a7f41ee91c77f722e11d2f317d6a66b546524e8a04cc8b03
465,https://api.github.com/repos/czechboy0/Redbird,1573127,Redbird,1,add docker compose for testing
574,https://api.github.com/repos/smartystreets/smartystreets-java-sdk,55453,smartystreets-java-sdk,1,
124,https://api.github.com/repos/visionappscz/synergic-ui,5069564,synergic-ui,1,REMOVED Compose file
44,https://api.github.com/repos/pseudomuto/dotfiles,2148154,dotfiles,1,
539,https://api.github.com/repos/batandwa/just-the-video,960998,just-the-video,1,
894,https://api.github.com/repos/policygenius/athenaeum,3197792,athenaeum,1,
552,https://api.github.com/repos/luismayta/resume,21051,resume,1,
565,https://api.github.com/repos/jterral/grim-app,10085246,grim-app,1,REMOVED
798,https://api.github.com/repos/OSSHealth/ghdata,32925466,ghdata,1,
428,https://api.github.com/repos/monitoringartist/grafana-xxl,8730042,grafana-xxl,1,
385,https://api.github.com/repos/bitrise-docker/android-ndk,10373931,android-ndk,1,"""A docker-compose.yml is also included, configured for quick testing."""
582,https://api.github.com/repos/lambci/lambci,8215363,lambci,1,"""Move to Docker compose for better reproducability"". Instead of runing this command: ""docker build -t lambci/lambci -f ../Dockerfile docker"", you run just this one "" docker-compose build"""
489,https://api.github.com/repos/mobileek/mobileek.github.io,11836795,mobileek.github.io,1,"Simplifying the construction of docker. Instead of executing this command ""docker run --rm --label=jekyll -v ""$(pwd)"":/srv/jekyll  -it -p 4000:4000 jekyll/jekyll jekyll --config _config.dev.yml serve --watch --incremental"", they codified everything inside docker-compose file "
562,https://api.github.com/repos/ThoughtWorksTurkey/marketwatcher.io,13317662,marketwatcher.io,1,
901,https://api.github.com/repos/WeAreFrancis/auth-service,34654777,auth-service,1,
692,https://api.github.com/repos/kaisalmen/WWOBJLoader,30570643,WWOBJLoader,1,"""If you have docker & docker-compose available there is no need to install any software stacks"""
152,https://api.github.com/repos/adaptive-learning/proso-apps,5970145,proso-apps,1,
1063,https://api.github.com/repos/Illedan/PartyfyYou,1765415,PartyfyYou,1,
579,https://api.github.com/repos/ytakano/lunarlang,554997,lunarlang,1,
813,https://api.github.com/repos/kennethreitz/pipenv,796,pipenv,1,they use docker-compose just for test. So in a makefile they just invoke docker-compose build and docker-compose up for the testing
1015,https://api.github.com/repos/faithworkcamps/faithworkcamps.github.io,37337837,faithworkcamps.github.io,1,Docker quick start
479,https://api.github.com/repos/SlaxWeb/Framework,6296273,Framework,1,"Not clear why, but it seems that the only advantage here is to specify the volumes"
372,https://api.github.com/repos/popcodeorg/popcode,10369230,popcode,1,
792,https://api.github.com/repos/danilnagy/discover,1822631,discover,1,
311,https://api.github.com/repos/OSUOSC/open-source-club-website,782019,open-source-club-website,1,
362,https://api.github.com/repos/hhpack/package,10101916,package,1,
355,https://api.github.com/repos/a25kk/eda,5715828,eda,1,Removed
320,https://api.github.com/repos/facebook/FBSimulatorControl,2156,FBSimulatorControl,1,
515,https://api.github.com/repos/supergiant/supergiant,12301919,supergiant,1,
699,https://api.github.com/repos/gperreymond/node-cqrs-framework,1285570,node-cqrs-framework,1,"docker-compose is ued for test. To run test, they just call ""docker-compose up"" from ""package.json"""
528,https://api.github.com/repos/gfw-api/gfw-story-api,12231302,gfw-story-api,1,
353,https://api.github.com/repos/awentzonline/doppelchat,2403091,doppelchat,1,
832,https://api.github.com/repos/gyng/jsapp-boilerplate,2398213,jsapp-boilerplate,1,
931,https://api.github.com/repos/niiknow/docker-nginx-image-proxy,7709826,docker-nginx-image-proxy,1,
921,https://api.github.com/repos/Censys/censys-definitions,9646293,censys-definitions,1,removed
1009,https://api.github.com/repos/TranscribeToTEI/webapp,37152591,webapp,1,
665,https://api.github.com/repos/taylor-peterson/taylor-peterson.github.io,3371251,taylor-peterson.github.io,1,"""Add docker-compose.yml file to support local development"""
718,https://api.github.com/repos/maxcanna/homeautomation,27638,homeautomation,1,An option ``to get homeautomation running'' instead of doing it manually
93,https://api.github.com/repos/sameersbn/docker-redis,1343504,docker-redis,1,"Simplify the command to start. Run ""docker-compose up"" instead of ""docker run --name redis -d --restart=always  --publish 6379:6379 --volume /srv/docker/redis:/var/lib/redis sameersbn/redis:4.0.9-2"""
518,https://api.github.com/repos/pubkey-sh/pubkey.sh,12333688,pubkey.sh,1,"""make the switch to docker for environment management"""
653,https://api.github.com/repos/SpamScope/spamscope,30725490,spamscope,1,"to make it ""easy to setup: there are docker images and docker-compose ready for use."""
924,https://api.github.com/repos/ponylang/pony-stable,8566019,pony-stable,1,
351,https://api.github.com/repos/zixia/docker-simple-mail-forwarder,281709,docker-simple-mail-forwarder,1,STOPED HERE <<<<<<<<<<<<<<<<<<<<<<<
740,https://api.github.com/repos/majori/piikki,8471616,piikki,1,
696,https://api.github.com/repos/graze/golang-service,896871,golang-service,1,
693,https://api.github.com/repos/PHeonix25/PHeonix25.github.io,449158,PHeonix25.github.io,1,
42,https://api.github.com/repos/SvenDowideit/dockerfiles,22217,dockerfiles,1,
807,https://api.github.com/repos/mvs-live/metaverse,33484718,metaverse,1,
289,https://api.github.com/repos/CTS-NL/CTS-NL.github.io,6449969,CTS-NL.github.io,1,
951,https://api.github.com/repos/mrllama123/nwen304-project3-team-sweet,8972773,nwen304-project3-team-sweet,1,
154,https://api.github.com/repos/bosun-monitor/bosun,5988240,bosun,1,
204,https://api.github.com/repos/keboola/sklik-extractor,7113,sklik-extractor,1,
707,https://api.github.com/repos/charlie59/non-texas-2,6306955,non-texas-2,1,
138,https://api.github.com/repos/tobegit3hub/seagull,1822124,seagull,1,
937,https://api.github.com/repos/ElderByte-/ngx-jwt-auth,7973188,ngx-jwt-auth,1,
1059,https://api.github.com/repos/devopspatterns/devopspatterns.github.io,38267878,devopspatterns.github.io,1,
309,https://api.github.com/repos/sinnerschrader/patternplate,400993,patternplate,1,
19,https://api.github.com/repos/savoirfairelinux/num2words,1116987,num2words,1,
898,https://api.github.com/repos/TulevaEE/epis-service,33246369,epis-service,1,
402,https://api.github.com/repos/itJunky/web-tasker.py,922910,web-tasker.py,1,
543,https://api.github.com/repos/dongri/line-bot-sdk-go,1875259,line-bot-sdk-go,1,
221,https://api.github.com/repos/VonC/b2d,226677,b2d,1,
836,https://api.github.com/repos/slidewiki/nlp-service,11122400,nlp-service,1,
863,https://api.github.com/repos/mattdavis90/base10,1988038,base10,1,
384,https://api.github.com/repos/cahirwpz/wifire-os,33240,wifire-os,1,
1076,https://api.github.com/repos/wolvespack/alcor,38714324,alcor,1,
786,https://api.github.com/repos/TulevaEE/onboarding-service,33246369,onboarding-service,1,
237,https://api.github.com/repos/hypery2k/galenframework-cli,42858,galenframework-cli,1,
722,https://api.github.com/repos/rolobio/pgpydict,568658,pgpydict,1,
510,https://api.github.com/repos/a25kk/dhp,5715828,dhp,1,
841,https://api.github.com/repos/joaothallis/joaothallis.github.io,33734958,joaothallis.github.io,1,
596,https://api.github.com/repos/Tournia/tournia-site,7228835,tournia-site,1,
714,https://api.github.com/repos/kovarp/hellofront,7785382,hellofront,1,
408,https://api.github.com/repos/fosojs/cdn,8613861,cdn,1,
875,https://api.github.com/repos/zuzucheFE/guido,34881921,guido,1,
504,https://api.github.com/repos/dyzhxsl3897/goliveiptv,2003100,goliveiptv,1,
585,https://api.github.com/repos/TeamHypersomnia/Hypersomnia,15965949,Hypersomnia,1,
143,https://api.github.com/repos/bird-house/flyingpigeon,5098869,flyingpigeon,1,
793,https://api.github.com/repos/sketch7/ssv-au-ui-dojo,11426960,ssv-au-ui-dojo,1,
659,https://api.github.com/repos/smartystreets/smartystreets-php-sdk,55453,smartystreets-php-sdk,1,
959,https://api.github.com/repos/buildkite-plugins/s3-secrets-buildkite-plugin,16167054,s3-secrets-buildkite-plugin,1,
418,https://api.github.com/repos/ClouDesire/janine,2823763,janine,1,
942,https://api.github.com/repos/nickrttn/watt-next,5406036,watt-next,1,
912,https://api.github.com/repos/evernym/sovrin-client-rust,6217561,sovrin-client-rust,1,
29,https://api.github.com/repos/IDCI-Consulting/NotificationApiClientBundle,393551,NotificationApiClientBundle,1,
448,https://api.github.com/repos/exceptionless/Foundatio.Repositories,3241623,Foundatio.Repositories,1,
784,https://api.github.com/repos/nituchao/nituchao.com,901972,nituchao.com,1,
506,https://api.github.com/repos/tctc91/angular2-wordpress-portfolio,1541313,angular2-wordpress-portfolio,1,
137,https://api.github.com/repos/hackerspace-silesia/HackSilesia,1992459,HackSilesia,1,
891,https://api.github.com/repos/andersfugmann/aws-s3,342729,aws-s3,1,
,,,,,
,https://api.github.com/repos/circleci/circleci-docs,84389,circleci-docs,1,they add support to docker-compose
,,,,,
,,,,,"With Docker Compose you can easily configure, install, and upgrade your Docker-based GitLab installation:"
